None,,,,CY 2005,CY 2006,CY 2007,CY 2008,CY 2009,CY 2010,CY 2011,CY 2012,CY 2013,CY 2014,CY 2015,CY 2016,CY 2017
None,,,,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e
"(Sectors, Sector)","(Category, Label)","(Source, Label)","(Source, Units)",,,,,,,,,,,,,
Stationary Energy,Commercial and Institutional,#2 fuel oil,liters,855215,721117,829520,764594,854268,823320,805766,730188,934987,717215,935210,714888,617758
Stationary Energy,Commercial and Institutional,#4 fuel oil,liters,153274,128002,147839,126333,151661,149941,145452,144334,172805,105587,185295,135631,145400
Stationary Energy,Commercial and Institutional,#6 fuel oil,liters,270277,228337,283237,247457,282479,267820,251422,196179,145597,38105,17698,2370,1310
Stationary Energy,Commercial and Institutional,Biofuel,liters,1,2,3,2,4,2,4,11,16,11,14,12,19
Stationary Energy,Commercial and Institutional,Electricity,kWh,11253009,10254504,10650969,8750868,7428419,6649543,6973279,6462973,6472566,6399736,6250500,6288195,5806863
Stationary Energy,Commercial and Institutional,Natural gas,GJ,3039660,3014702,3195316,5531058,5708259,4897012,5112296,4698827,5480790,5861832,5748157,5589772,6161253
Stationary Energy,Commercial and Institutional,Steam,kg,1239372,990153,1035650,814252,837750,744424,708121,509367,597717,605180,569870,481522,430828
Stationary Energy,Fugitive,Fugitive CH4,GJ,207589,199919,217632,221018,220149,411536,428340,389429,440767,480624,472886,488415,493695
Stationary Energy,Manufacturing and Construction,#2 fuel oil,liters,196673,165835,190764,175833,196456,189339,185302,167921,215019,164938,215070,164402,142066
Stationary Energy,Manufacturing and Construction,#4 fuel oil,liters,32943,27511,31775,27152,32596,32226,31262,31021,37140,22693,39825,29151,31250
Stationary Energy,Manufacturing and Construction,#6 fuel oil,liters,20819,17589,21818,19061,21759,20630,19367,15112,11215,2935,1363,183,101
Stationary Energy,Manufacturing and Construction,Biofuel,liters,0,0,1,0,1,0,1,2,3,2,3,2,3
Stationary Energy,Manufacturing and Construction,Electricity,kWh,3767250,3086750,3199736,2957720,2629126,2343386,2504742,2395147,2402886,2365278,2320895,2345110,2127938
Stationary Energy,Manufacturing and Construction,Natural gas,GJ,910089,902616,956693,593284,499671,1158830,1198391,1101903,6101884,1372611,1369385,1369580,1454160
Stationary Energy,Manufacturing and Construction,Steam,kg,371812,297046,310695,244276,251325,223327,212436,152810,179315,181554,170961,144456,129248
Stationary Energy,Residential,#2 fuel oil,liter,1509205,1272562,1463862,1349286,1507534,1452921,1421942,1288570,1649980,1265676,1650374,1261569,1090164
Stationary Energy,Residential,#4 fuel oil,liters,858782,717181,828331,707835,849740,840108,814956,808693,968211,591594,1038192,759929,814663
Stationary Energy,Residential,#6 fuel oil,liters,2202564,1860783,2308182,2016602,2302006,2182548,2048916,1598721,1186511,310527,144226,19314,10678
Stationary Energy,Residential,Biofuel,liters,5,10,11,9,14,9,15,45,65,44,57,48,76
Stationary Energy,Residential,Electricity,kWh,6079321,4932938,5176210,4844438,4530996,4290372,4520767,4282842,4219090,3984838,4035680,4023713,3672168
Stationary Energy,Residential,Natural gas,GJ,9088939,8639591,9517481,7758601,7620632,8648642,8994243,8113867,4156596,9938586,9778974,10492098,10024575
Stationary Energy,Residential,Steam,kg,332201,263360,270347,372781,385561,329473,323160,255853,318768,322749,286277,270734,250272
Transportation,Aviation,Jet fuel,liters,2426,2501,2436,2248,2113,2227,1836,1557,2071,2330,2643,2533,2501
Transportation,Marine Navigation,Biofuel,liters,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation,Marine Navigation,Gasoline,liters,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation,Marine Navigation,Marine diesel,liters,49962,47518,32494,44911,45125,51608,53850,31646,89511,52770,55735,86108,48593
Transportation,On-Road,Buses , VMT ,687896,653674,719516,617620,608592,599078,568779,571889,573516,580459,561936,548489,532636
Transportation,On-Road,Heavy duty trucks , VMT ,1419991,1424651,1429307,1433959,1438606,1443249,1447887,1452522,1457151,1461692,1466398,1470944,1475504
Transportation,On-Road,Medium duty trucks , VMT ,387786,388841,389959,391142,392389,393699,395073,396512,398014,399075,401210,402454,403701
Transportation,On-Road,Passenger cars,VMT,12881945,12834624,12786667,12737992,12688656,12638629,12588103,12536849,12484999,12431643,12379304,12417699,12456065
Transportation,Railways,Diesel,liters,14098,14348,14348,14437,13985,13710,14050,12834,14775,14811,14761,13615,14620
Transportation,Railways,Electricity,kWh,953856,809111,819766,747111,718802,585981,591515,583232,596276,570346,556076,554345,500831
Waste,Biological treatment,CH4 and N2O from composting,MT,4991,6967,4995,3545,3919,4116,3807,3548,3895,5532,6971,8293,10814
Waste,Landfills,CH4,MT,2021979,1758924,1734874,1730869,1699178,1679645,1719175,1695509,1687225,1702001,1680420,1690923,1695239
Waste,Wastewater treatment,CH4,MT,163402,170871,304516,299658,267607,230426,248908,187499,164922,142468,152973,103514,73756
Waste,Wastewater treatment,N2O,MT,85120,82940,85474,87011,87617,83325,82857,77070,76551,76133,74890,70514,74177
